game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Unleash your inner warrior! Street Fighter 6 delivers explosive, global brawls with dynamic visuals, innovative gameplay, and a diverse roster of legendary fighters.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Survival,"Descend into a Louisiana swamp, hunting monstrous creatures and other players for bounties. Risk life and limb in a high-stakes, unforgiving PvPvE experience.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a post-apocalyptic world, battle colossal monsters, and unravel a captivating story. Wuthering Waves blends action RPG combat with exploration for an immersive journey.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Military,"Experience realistic combat in Arma Reforger! Fight for survival on a vast island, coordinating with teammates, utilizing authentic weaponry, and forging your own destiny.",Multiplayer
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,"Scavenge abandoned moons for scrap, battling monstrous creatures, and survive the dangers of space... or die trying! It's a co-op horror experience.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,FPS,"Loot, shoot, and extract! Arena Breakout: Infinite delivers hardcore, realistic FPS action. Risk everything to raid, survive, and escape with your hard-earned treasures.",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Dive into the stylish, action-packed world of Zenless Zone Zero! Fight monstrous Ethereals, build your squad, and unravel the secrets of New Eridu.",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive a prehistoric world! Tame dinosaurs, build bases, and fight for dominance in ARK: Survival Ascended. Explore, craft, and conquer!",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Build an empire to stand the test of time! Explore, expand, exploit, and exterminate in Civilization VII, shaping history through diplomacy, war, and cultural dominance.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"Dive into SMITE 2, the action MOBA where gods battle in third-person! Wield divine powers, dominate the battlefield, and claim victory.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Forge your destiny in Throne and Liberty! Explore a vast, dynamic world where alliances shift, battles rage, and your choices shape the fate of the kingdom.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Action,"Awaken, Flameborn! Explore a vast, shrouded world. Craft, build, and fight to reclaim your land from a deadly blight and uncover its secrets.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Survive the abandoned Playtime Co. factory! Solve puzzles, uncover secrets, and avoid the terrifying, hug-loving toys that lurk in the shadows.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Embark on a co-op adventure! Master unique abilities, solve puzzles, and save your fractured relationship in ""It Takes Two,"" a journey built for two.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Clash with thousands in DYNASTY WARRIORS: ORIGINS! Experience epic, open-world battles, become a legendary warrior, and rewrite the Three Kingdoms saga!",Both
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience the thrill of NHL 25!  Dominate the ice with authentic gameplay, refined player control, and intense online competition.  Become a hockey legend!",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,Balatro: A deck-building roguelike where poker hands meet strategic card combinations. Craft powerful synergies to score big and climb the stakes!,Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Simulation,"Escape the mundane! In MiSide, build your own perfect virtual world by crafting unique islands and connecting with friends in an immersive, customizable experience.",Both
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Shape your fate! ""Metaphor: Refantazio"" plunges you into a world of shifting realities, where your choices redefine the future in epic battles and a grand journey.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Unravel a global conspiracy as Indiana Jones! Explore exotic locales, battle Nazis, and solve ancient puzzles in this first-person adventure.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Realism,"Experience World War II's Eastern & Western fronts in a realistic, brutal 50v50 tactical FPS. Coordinate with your squad and dominate the battlefield!",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Leap, bound, and explore a vast 3D world as Mario! Collect stars, battle Bowser, and rescue Princess Peach in this revolutionary platforming adventure.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Survival,"Brave the irradiated wasteland of Chornobyl. Survive anomalies, hunt for artifacts, and uncover the secrets of the Zone in S.T.A.L.K.E.R. 2.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,MMORPG,"Survive a post-apocalyptic, anomaly-filled world in STALCRAFT: X. Explore the Zone, scavenge for resources, and fight for your place amidst ruthless factions.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Shop 'til you drop... together! Team up with friends to conquer chaotic supermarket challenges, fill your cart, and race to the checkout in this hilarious co-op adventure!",Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Explore a vibrant fantasy world, master diverse classes, and team up to conquer challenging dungeons in Ragnarok Online 2! Adventure awaits in this beloved MMORPG.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,"Descend into a terrifying psychological gauntlet. Survive gruesome trials solo or with friends, battling sanity and monstrous experiments in The Outlast Trials.",Multiplayer
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"In Detroit, androids are alive. Experience their fight for freedom and human rights through branching narratives shaped by your choices, leading to powerful consequences.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Fighting,"Feel the fight! EA Sports UFC 2 delivers brutal, realistic MMA action. Master striking, grappling, and submissions to dominate the octagon and become the ultimate champion.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Escape to Palia, a cozy community sim where you befriend humans, craft, build, and uncover ancient mysteries!",Both
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Survive the unforgiving Amazon rainforest in Green Hell. Craft, hunt, and fight to stay alive against hunger, injury, and the psychological torment of isolation.",Singleplayer
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Soar into the future of aviation! Microsoft Flight Simulator 2024 puts you in the pilot's seat for thrilling adventures across a stunningly realistic world, exploring the skies like never before.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Autobattler,"Assemble a team of champions, strategically place them, and battle against seven rivals in a dynamic, auto-battling arena to be the last tactician standing!",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Survival,"Explore an infinite procedurally generated universe! Discover planets, build bases, fight, trade, and survive the vast unknown in No Man's Sky.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Cultivate your dream farm! Manage crops, livestock, and vast landscapes in Farming Simulator 25. Grow your agricultural empire with advanced machines and immersive gameplay.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"Fight to reclaim a ruined Washington D.C. in Tom Clancy's The Division 2. Team up, gear up, and survive a post-pandemic America, battling factions for control.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Epic crossover chaos! Iconic video game characters clash in fast-paced, explosive battles. Fight, launch opponents, and become the ultimate champion!",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,"Survive a zombie apocalypse in a vibrant open world! Parkour through the day, scavenge for supplies, and fight horrific infected at night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Stealth,"Become a WWII sniper in occupied France. Use stealth, precision, and brutal X-ray kills to cripple Nazi forces and ignite the Resistance.",Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore a cursed island, forge your destiny in a vast, open world. Craft, fight, and build alliances to conquer the supernatural threats and claim your place in Aeternum.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Embark on a delightful island adventure with Hello Kitty! Build friendships, explore, craft, and uncover secrets in this charming, social simulation game.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Puzzle,"Become a news anchor and control the headlines! Shape public opinion, manage your broadcast, and outmaneuver rival networks in this fast-paced, strategic news game.",QuotaError
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Action,"Command massive tanks and clash in epic online battles! Dominate the battlefield with strategic team play, powerful upgrades, and explosive action in Mir Tankov.",Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"Descend into a biblical nightmare! Fight grotesque creatures, collect bizarre items, and uncover Isaac's tragic story in this relentlessly replayable roguelike.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Survival,"Dive into Exoborne: a brutal open-world survival extraction shooter. Fight for resources, battle dynamic weather, and master powerful exosuits in a desperate bid for survival.",Multiplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Steal cars, raise hell, and build a criminal empire in the sprawling open world of San Andreas. CJ's back, and the streets ain't ready!",Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Dress-up,"Embark on a fashion-filled adventure! Dress Nikki in dazzling styles, explore diverse worlds, and uncover the secrets of a magical land.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Looter-shooter,"Blast through a chaotic galaxy as a vault hunter, looting absurd weapons, and battling insane foes in this action-packed, co-op FPS!",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Embark on epic battles as a valiant Knight! Choose your race, forge alliances, and conquer the lands in this classic, action-packed MMORPG.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Build and manage your own supermarket! Stock shelves, set prices, handle finances, and satisfy customer needs in this realistic simulation. Can you become a retail tycoon?",Singleplayer
